date,employee_code,check_in,check_out,reason_code
02-10-2017,MIS000001,08:00,17:00,,
03-10-2017,MIS000001,08:00,17:00,,
04-10-2017,MIS000001,08:00,17:00,,
05-10-2017,MIS000001,08:00,17:00,,
06-10-2017,MIS000001,08:00,17:00,,
09-10-2017,MIS000001,08:00,17:00,,
10-10-2017,MIS000001,08:00,17:00,,
11-10-2017,MIS000001,08:00,17:00,,
12-10-2017,MIS000001,08:00,17:00,,
13-10-2017,MIS000001,08:00,17:00,,
16-10-2017,MIS000001,08:00,17:00,,
17-10-2017,MIS000001,08:00,21:05,,
18-10-2017,MIS000001,08:00,17:00,,
19-10-2017,MIS000001,08:00,17:00,,
20-10-2017,MIS000001,08:00,17:00,,
23-10-2017,MIS000001,08:00,17:00,,
24-10-2017,MIS000001,08:00,17:00,,
25-10-2017,MIS000001,08:00,17:00,,
26-10-2017,MIS000001,08:00,17:00,,
27-10-2017,MIS000001,,,SKT
30-10-2017,MIS000001,08:00,17:00,,
31-10-2017,MIS000001,08:00,17:00,,
